epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,precision,recall,mAP@0.5,mAP@0.5-0.95,val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,train_loss,val_loss
119,27125.8,1.0789,1.7066,1.2217,0.82097,0.78291,0.81952,0.47509,1.29192,1.6064,1.27871,0.00667789,0.00667789,0.00667789,11.6309,13.213865
120,27354.4,1.06768,1.66636,1.21723,0.79758,0.82496,0.85119,0.50109,1.24858,1.60767,1.25742,0.00662885,0.00662885,0.00662885,11.499805,12.85815
121,27618,1.09971,1.74103,1.22327,0.85312,0.80817,0.88704,0.50615,1.27939,1.60501,1.27577,0.00657963,0.00657963,0.00657963,11.82376,13.11409
122,27880,1.07665,1.6947,1.21479,0.7418,0.81539,0.85182,0.49866,1.26374,1.62587,1.26324,0.00653025,0.00653025,0.00653025,11.59176,12.99878
123,28141.6,1.08043,1.74427,1.21703,0.78894,0.82372,0.84802,0.50513,1.25771,1.61521,1.25889,0.00648071,0.00648071,0.00648071,11.67304,12.93637
124,28407.3,1.09578,1.72927,1.21879,0.77797,0.8256,0.85147,0.50339,1.2753,1.59025,1.26075,0.00643101,0.00643101,0.00643101,11.775805,13.046125
125,28667.2,1.07342,1.69629,1.2246,0.78217,0.77053,0.80097,0.50916,1.24232,1.57556,1.25159,0.00638115,0.00638115,0.00638115,11.58384,12.770345
126,28922.4,1.08798,1.71472,1.22103,0.87613,0.8079,0.88328,0.52324,1.23631,1.57794,1.25156,0.00633115,0.00633115,0.00633115,11.706115,12.727605
127,29159,1.05627,1.64849,1.20392,0.8186,0.81592,0.8693,0.51343,1.25783,1.62825,1.26699,0.00628101,0.00628101,0.00628101,11.376395,12.96246
128,29421.1,1.07156,1.67483,1.21958,0.84246,0.82067,0.87087,0.50832,1.26399,1.59304,1.25804,0.00623074,0.00623074,0.00623074,11.5409,12.960025
129,29684.4,1.06338,1.64383,1.20874,0.8268,0.80707,0.86146,0.51438,1.25961,1.64871,1.25133,0.00618034,0.00618034,0.00618034,11.43229,12.97278
130,29946.6,1.07704,1.69487,1.21667,0.86917,0.83009,0.88445,0.51523,1.25797,1.61548,1.25903,0.00612981,0.00612981,0.00612981,11.597675,12.9388
131,30208.5,1.06912,1.67469,1.21297,0.81862,0.82433,0.87605,0.51943,1.2414,1.6185,1.2392,0.00607916,0.00607916,0.00607916,11.512545,12.7878
132,30465.9,1.05725,1.66277,1.20285,0.83656,0.81691,0.87299,0.51926,1.25047,1.60469,1.24443,0.0060284,0.0060284,0.0060284,11.39642,12.84986
133,30655.4,1.03099,1.60336,1.19593,0.81061,0.84785,0.86583,0.51427,1.24869,1.58877,1.24946,0.00597754,0.00597754,0.00597754,11.12968,12.828135
134,30789.2,1.06123,1.66225,1.19875,0.8499,0.84026,0.88142,0.51341,1.27178,1.62228,1.26333,0.00592657,0.00592657,0.00592657,11.4196,13.055625
135,30923.3,1.06212,1.65025,1.21265,0.81223,0.83161,0.87822,0.53452,1.27426,1.58886,1.26408,0.00587551,0.00587551,0.00587551,11.435125,13.04193
136,31057.3,1.06182,1.65722,1.20413,0.83795,0.83557,0.88168,0.50721,1.28006,1.57475,1.26517,0.00582435,0.00582435,0.00582435,11.427065,13.072955
137,31190.8,1.06907,1.66428,1.21464,0.85884,0.81014,0.88542,0.52037,1.24926,1.57367,1.25451,0.00577311,0.00577311,0.00577311,11.504265,12.824885
138,31325.9,1.05446,1.6395,1.20364,0.87565,0.81693,0.8832,0.52701,1.21846,1.59704,1.24265,0.00572179,0.00572179,0.00572179,11.35341,12.599465
139,31461,1.04308,1.62204,1.19838,0.82895,0.78842,0.82472,0.49916,1.24188,1.56386,1.25105,0.0056704,0.0056704,0.0056704,11.24271,12.754535
140,31597,1.04301,1.64772,1.20385,0.71105,0.81209,0.80949,0.4967,1.28645,1.66464,1.27346,0.00561894,0.00561894,0.00561894,11.27607,13.223205
