epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,precision,recall,mAP@0.5,mAP@0.5-0.95,val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,train_loss,val_loss
57,6442.13,1.3218,6.25313,1.39352,0.6138,0.64999,0.6131,0.34737,1.64489,6.33204,1.50586,0.00917296,0.00917296,0.00917296,18.25691,49.00991944
58,6547.03,1.27991,6.08265,1.38951,0.56508,0.6624,0.60781,0.35313,1.54004,5.97639,1.44444,0.00914405,0.00914405,0.00914405,17.76624,46.28108108
59,6653.93,1.28474,6.0967,1.38951,0.59999,0.65322,0.62809,0.38134,1.46613,5.85982,1.38296,0.00911469,0.00911469,0.00911469,17.816515,45.34528204
60,6768.96,1.2782,6.1024,1.38162,0.59413,0.6089,0.59776,0.34688,1.56764,6.19727,1.41256,0.00908488,0.00908488,0.00908488,17.76133,47.90571232
61,6877.7,1.25828,5.92463,1.34956,0.65777,0.65552,0.68573,0.39368,1.44402,5.99049,1.33731,0.00905463,0.00905463,0.00905463,17.38607,46.27956695
62,6986.82,1.28243,6.03667,1.38508,0.75501,0.63962,0.65577,0.39246,1.45915,5.88771,1.36084,0.00902395,0.00902395,0.00902395,17.732515,45.53220093
63,7095.56,1.28636,6.00271,1.37914,0.57217,0.65495,0.67051,0.39821,1.41893,6.20746,1.35971,0.00899282,0.00899282,0.00899282,17.71912,47.92914923
64,7201.99,1.27146,6.01997,1.3718,0.59426,0.62116,0.57645,0.34961,1.50908,6.36892,1.44868,0.00896127,0.00896127,0.00896127,17.61362,49.22902191
65,7307.37,1.26539,6.01193,1.36023,0.62073,0.58694,0.60002,0.36552,1.51251,6.25745,1.43826,0.00892928,0.00892928,0.00892928,17.5427,48.38252892
66,7412.76,1.25077,5.90904,1.35258,0.60184,0.69344,0.64365,0.37481,1.45114,5.77264,1.37734,0.00889687,0.00889687,0.00889687,17.318685,44.68548531
67,7518.09,1.25573,5.98845,1.34827,0.66127,0.65662,0.66078,0.3756,1.44464,6.20952,1.33421,0.00886404,0.00886404,0.00886404,17.42883,47.91890606
68,7624.13,1.23519,5.82629,1.34657,0.61741,0.68269,0.68278,0.38484,1.48494,5.99628,1.38345,0.00883079,0.00883079,0.00883079,17.11007,46.36879619
69,7729.05,1.24203,5.89665,1.34676,0.60261,0.63382,0.60574,0.34788,1.52852,6.69982,1.45054,0.00879713,0.00879713,0.00879713,17.232015,51.7123857
70,7834.44,1.22055,5.73185,1.33205,0.60272,0.68282,0.62028,0.36419,1.5131,5.89264,1.40014,0.00876305,0.00876305,0.00876305,16.88405,45.60808458
71,7940.04,1.23089,5.8398,1.33548,0.65972,0.63008,0.66897,0.38034,1.47169,6.01602,1.36151,0.00872857,0.00872857,0.00872857,17.074695,46.49475286
72,8045.57,1.23339,5.76791,1.33285,0.57711,0.50722,0.54734,0.33956,1.51362,6.70798,1.37539,0.00869368,0.00869368,0.00869368,17.01761,51.69828052
73,8150.34,1.22838,5.84701,1.33423,0.53397,0.65415,0.61591,0.37283,1.51756,6.14536,1.42259,0.00865839,0.00865839,0.00865839,17.061205,47.52577759
74,8255.51,1.22748,5.64761,1.3328,0.6635,0.68278,0.66337,0.37287,1.52188,5.97869,1.41784,0.00862271,0.00862271,0.00862271,16.85291,46.27094907
75,8362.26,1.23953,5.8326,1.33456,0.6692,0.69113,0.70867,0.39401,1.48495,5.57609,1.36267,0.00858664,0.00858664,0.00858664,17.130915,43.19622496
76,8468.24,1.23303,5.6782,1.33318,0.57545,0.53128,0.4919,0.2734,1.79695,9.6378,1.58284,0.00855018,0.00855018,0.00855018,16.925695,73.87916527
77,8575.62,1.23398,5.92045,1.34615,0.63916,0.6558,0.68101,0.40049,1.47291,5.64026,1.37259,0.00851333,0.00851333,0.00851333,17.194525,43.68731
78,8679.85,1.21034,5.67552,1.32242,0.64957,0.62592,0.62301,0.36941,1.53112,5.71218,1.38011,0.00847611,0.00847611,0.00847611,16.7367,44.23417417
79,8785.62,1.20762,5.6419,1.33558,0.6829,0.65024,0.67654,0.38552,1.48518,5.9684,1.39364,0.00843851,0.00843851,0.00843851,16.70242,46.16929777
80,8891.37,1.22029,5.71989,1.32901,0.65381,0.68328,0.67721,0.38125,1.49392,5.58239,1.40604,0.00840054,0.00840054,0.00840054,16.86558,43.28656581
81,8997.46,1.23944,5.82118,1.33218,0.64873,0.64603,0.65126,0.38304,1.44949,5.65692,1.3428,0.0083622,0.0083622,0.0083622,17.11525,43.7822433
82,9103.64,1.2124,5.61939,1.31096,0.69417,0.67354,0.68456,0.39626,1.43758,5.55386,1.33199,0.00832349,0.00832349,0.00832349,16.67883,42.99842524
83,9208.55,1.184,5.53305,1.31001,0.70218,0.64455,0.70797,0.40468,1.42827,5.72573,1.34448,0.00828443,0.00828443,0.00828443,16.378065,44.29988165
84,9311.86,1.20553,5.62729,1.30786,0.67863,0.71258,0.70435,0.40281,1.50019,5.75892,1.42726,0.00824502,0.00824502,0.00824502,16.630555,44.63152753
